text,label,lang,volumeValue,volumeDelta,favoriteNumber,favoriteName
lige hvad er to plus to,unknown,da,,,,
ville du frakoble,leaveSpeaker,da,,,,
pause the audio right away,pause,en,,,,
could you please mute,mute,en,,,,
vil du starte musikken,playDefault,da,,,,
nu det er rigtigt,confirm,da,,,,
nu skru op 25,volumeUp,da,,25,,
skru lidt ned,volumeDown,da,,,,
quickly how do you spell necessary,unknown,en,,,,
venligst naturligvis,confirm,da,,,,
vil du venligst spille morning playlist,playNamed,da,,,,
right away mute the audio,mute,en,,,,
quickly i changed my mind,cancel,en,,,,
ville du venligst pause,pause,da,,,,
skru op 15,volumeUp,da,,15,,
could you change the volume to twenty-five,setVolume,en,25,,,
indstil volumen til 10,setVolume,da,10,,,
quickly what's my home temperature,unknown,en,,,,
just end the music,stop,en,,,,
hvad er tolv gange otte hurtigt,unknown,da,,,,
fine by me real quick,confirm,en,,,,
i'd like you to unpause right now,resume,en,,,,
vær så venlig at holde pause,pause,da,,,,
jeg vil have ro,stop,da,,,,
what's saved as a favorite,listFavorites,en,,,,
unpause,resume,en,,,,
i'd like you to disconnect,leaveSpeaker,en,,,,
go ahead and mute,mute,en,,,,
lower real quick,volumeDown,en,,,,
lige skru ned,volumeDown,da,,,,
venligst fint ja,confirm,da,,,,
jeg vil gerne have at du sætte Genstart på,playNamed,da,,,,
right away continue the music,resume,en,,,,
vil du venligst spille favorit fire,playFavoriteByNumber,da,,,4,
ville du venligst sætte Volbeat på,playNamed,da,,,,
silence the music,mute,en,,,,
hurtigt skru op med tyve,volumeUp,da,,20,,
med det samme fint nok,confirm,da,,,,
would you please play number 6,playFavoriteByNumber,en,,,6,
could you play number 7,playFavoriteByNumber,en,,,7,
kan du spille noget,playDefault,da,,,,
go ahead and pause it,pause,en,,,,
lavere med femogtyve,volumeDown,da,,25,,
nu gå solo,leaveSpeaker,da,,,,
would you please change the volume to 65,setVolume,en,65,,,
må jeg bede dig om at pause,pause,da,,,,
må jeg bede dig om at spille morning playlist,playNamed,da,,,,
ville du venligst sænke lydstyrken,volumeDown,da,,,,
med det samme skru op med 15,volumeUp,da,,15,,
could you please resume,resume,en,,,,
add the bedroom to the group,joinSpeaker,en,,,,
jeg vil høre electronic,playNamed,da,,,,electronic
real quick i want you to play something,playDefault,en,,,,
nu fortsæt afspilningen,resume,da,,,,
yes do it right now,confirm,en,,,,
i want you to unmute now,unmute,en,,,,
hurtigt hvad er vejret i dag,unknown,da,,,,
agreed yes,confirm,en,,,,
adskil,leaveSpeaker,da,,,,
dæmp lidt hurtigt,volumeDown,da,,,,
med det samme frakobl højttaleren,leaveSpeaker,da,,,,
play with the living room,joinSpeaker,en,,,,
nu har du følelser,unknown,da,,,,
just pause the song,pause,en,,,,
just end silent mode,unmute,en,,,,
skift til lydstyrke 99,setVolume,da,99,,,
please group with the office,joinSpeaker,en,,,,
nu vær så venlig at fortsætte,resume,da,,,,
can you play number eight,playFavoriteByNumber,en,,,8,
ville du adskille højttaleren,leaveSpeaker,da,,,,
vær så venlig at afspille favorit nummer seks,playFavoriteByNumber,da,,,6,
spil musik hurtigt,playDefault,da,,,,
stop sangen,stop,da,,,,
favorit nummer 8,playFavoriteByNumber,da,,,8,
kan du stoppe,stop,da,,,,
spil favorit nummer fem,playFavoriteByNumber,da,,,5,
quickly add eggs to my shopping list,unknown,en,,,,
hold on now,pause,en,,,,
stop the song,stop,en,,,,
skru op med ti hurtigt,volumeUp,da,,10,,
now skip that,cancel,en,,,,
det stemmer,confirm,da,,,,
vent lidt med det samme,pause,da,,,,
let it resume real quick,resume,en,,,,
play the study music,playNamed,en,,,,study music
lige spil bare her,leaveSpeaker,da,,,,
med det samme fortsæt med musikken,playDefault,da,,,,
read my latest email,unknown,en,,,,
turn on the audio real quick,unmute,en,,,,
right now go quiet,mute,en,,,,
stop already real quick,stop,en,,,,
jeg vil bede dig om at afspille Adele,playNamed,da,,,,
decrease volume by 30 right away,volumeDown,en,,30,,
would you please play something,playDefault,en,,,,
right away what's two plus two,unknown,en,,,,
kan du spille musik,playDefault,da,,,,
i changed my mind,cancel,en,,,,
just turn it down by twenty-five,volumeDown,en,,25,,
ville du slukke for musikken,stop,da,,,,
må jeg bede dig om at sætte på pause,pause,da,,,,
vil du skrue ned for lyden,volumeDown,da,,,,
quickly yes,confirm,en,,,,
lige start igen,resume,da,,,,
nu fjern pause,resume,da,,,,
right now actually never mind,cancel,en,,,,
kan du sætte lydstyrken til 55,setVolume,da,55,,,
i'd like you to stop the music,stop,en,,,,
right now what's the capital of france,unknown,en,,,,
absolutely yes right now,confirm,en,,,,
nu list mine presets,listFavorites,da,,,,
lavere,volumeDown,da,,,,
jeg vil bede dig om at tilslutte spisestuen,joinSpeaker,da,,,,
bare det stemmer,confirm,da,,,,
right now bring back the sound,unmute,en,,,,
now give me the sound back,unmute,en,,,,
sæt på pause hurtigt,pause,da,,,,
put something on right now,playDefault,en,,,,
jeg vil gerne have at du fortsætte,resume,da,,,,
i need you to stop now,stop,en,,,,
med det samme giv mig noget musik,playDefault,da,,,,
vil du venligst indstille lydstyrken til halvfjerds,setVolume,da,70,,,
bare adskil fra gruppen,leaveSpeaker,da,,,,
ville du venligst spille favorit 10,playFavoriteByNumber,da,,,10,
would you put the volume at 100,setVolume,en,100,,,
med det samme højere med femogtyve,volumeUp,da,,25,,
i would like you to unmute right away,unmute,en,,,,
vil du venligst ændre lydstyrken til fem,setVolume,da,5,,,
play my songs real quick,playDefault,en,,,,
spil favorit nummer tre,playFavoriteByNumber,da,,,3,
i want music,playDefault,en,,,,
vis listen,listFavorites,da,,,,
jeg vil gerne have at du stoppe musikken,stop,da,,,,
venligst sæt musikken på pause,pause,da,,,,
separate from group,leaveSpeaker,en,,,,
jeg vil høre noget igen med det samme,unmute,da,,,,
kunne du venligst fjerne dæmpningen,unmute,da,,,,
i need you to disconnect right now,leaveSpeaker,en,,,,
er hoveddøren låst med det samme,unknown,da,,,,
could you kindly continue,resume,en,,,,
hold the music,pause,en,,,,
lige det stemmer,confirm,da,,,,
wait a second,pause,en,,,,
right now lower the volume by 25,volumeDown,en,,25,,
kan du afspille favorit nummer fire,playFavoriteByNumber,da,,,4,
on second thought no right now,cancel,en,,,,
sæt lydstyrken til 75,setVolume,da,75,,,
how old are you,unknown,en,,,,
start playing again right away,resume,en,,,,
hurtigt kør videre,resume,da,,,,
vil du venligst tilslutte køkkenet,joinSpeaker,da,,,,
med det samme vær så venlig at spille musik,playDefault,da,,,,
sæt P4,playNamed,da,,,,P4
i would like you to set volume to twenty-five,setVolume,en,25,,,
drop det hurtigt,cancel,da,,,,
could you kindly hold the music,pause,en,,,,
could you please change the volume to zero,setVolume,en,0,,,
bekræft med det samme,confirm,da,,,,
vær venlig at slukke for lyden,mute,da,,,,
pair with the kitchen,joinSpeaker,en,,,,
spil nummer 9,playFavoriteByNumber,da,,,9,
i'd like you to show me my favorites,listFavorites,en,,,,
just go ahead and continue,resume,en,,,,
just abort,cancel,en,,,,
read me the headlines now,unknown,en,,,,
vær venlig at fortælle mig mine favoritter,listFavorites,da,,,,
hurtigt tænd lyset,unknown,da,,,,
quickly fine,confirm,en,,,,
tænd for lyden,unmute,da,,,,
nævn mine favoritter hurtigt,listFavorites,da,,,,
jeg vil gerne have at du sætte P2 på,playNamed,da,,,,
ikke denne gang nu,cancel,da,,,,
i need you to set volume to 25,setVolume,en,25,,,
right now what's today's date,unknown,en,,,,
what are my favourites now,listFavorites,en,,,,
separate from the others right away,leaveSpeaker,en,,,,
can you please stop the music,stop,en,,,,
genoptag sangen,resume,da,,,,
just stop the song,stop,en,,,,
right away definitely,confirm,en,,,,
right now i want you to start playing,playDefault,en,,,,
lige vær så venlig at adskille højttaleren,leaveSpeaker,da,,,,
i need you to join the basement,joinSpeaker,en,,,,
would you please put on The Beatles,playNamed,en,,,,Beatles
pair with the bathroom,joinSpeaker,en,,,,
må jeg bede dig om at mute,mute,da,,,,
now bump it up,volumeUp,en,,,,
jeg vil bede dig om at dæmpe lyden,mute,da,,,,
favoritlisten,listFavorites,da,,,,
mere volumen,volumeUp,da,,,,
med det samme skru op 15,volumeUp,da,,15,,
stands sangen,stop,da,,,,
right away i love you,unknown,en,,,,
med det samme spil hvad som helst,playDefault,da,,,,
venligst afbryd,cancel,da,,,,
please group with the basement,joinSpeaker,en,,,,
go ahead and disconnect,leaveSpeaker,en,,,,
vær venlig at gruppere med kælderen,joinSpeaker,da,,,,
jeg vil bede dig om at afspille favorit nummer et,playFavoriteByNumber,da,,,1,
real quick what stations do i have,listFavorites,en,,,,
jeg vil gerne have at du frakoble,leaveSpeaker,da,,,,
definitely,confirm,en,,,,
afspil nummer syv,playFavoriteByNumber,da,,,7,
fortæl mig mine favoritter,listFavorites,da,,,,
bare kom i gang,confirm,da,,,,
må jeg bede dig om at fjerne dæmpningen,unmute,da,,,,
right away unpair,leaveSpeaker,en,,,,
mute the audio,mute,en,,,,
right away i'd like you to play something,playDefault,en,,,,
could you please play number one,playFavoriteByNumber,en,,,1,
spil Nova FM for mig,playNamed,da,,,,Nova FM for mig
kindly play favorite four,playFavoriteByNumber,en,,,4,
kunne du slukke for lyden,mute,da,,,,
agreed,confirm,en,,,,
give me the jazz,playNamed,en,,,,jazz
would you mind to put the volume at 60,setVolume,en,60,,,
skru op for musikken nu,volumeUp,da,,,,
favoritlisten med det samme,listFavorites,da,,,,
vil du venligst spille videre,resume,da,,,,
tavs,mute,da,,,,
vil du spille The Beatles,playNamed,da,,,,
vil du indstille lydstyrken til hundrede,setVolume,da,100,,,
connect with the upstairs speaker,joinSpeaker,en,,,,
decrease the volume,volumeDown,en,,,,
just volume down fifteen,volumeDown,en,,15,,
hæv lydstyrken med ti,volumeUp,da,,10,,
hurtigt hvad skal jeg spise til aften,unknown,da,,,,
unmute it right now,unmute,en,,,,
right away let's not,cancel,en,,,,
i want you to keep playing,resume,en,,,,
kan du venligst starte musikken,playDefault,da,,,,
med det samme jeg vil høre musik,playDefault,da,,,,
proceed now,confirm,en,,,,
would you mind to play Adele,playNamed,en,,,,Adele
could you kindly set volume to one hundred,setVolume,en,100,,,
ville du venligst spille musik,playDefault,da,,,,
stop midlertidigt,pause,da,,,,
go ahead and play number 9,playFavoriteByNumber,en,,,9,
nu højere med 25,volumeUp,da,,25,,
må jeg bede dig om at pause afspilningen,pause,da,,,,
find a restaurant nearby,unknown,en,,,,
i would like you to set volume to 25,setVolume,en,25,,,
can you please change the volume to 80,setVolume,en,80,,,
leave the group,leaveSpeaker,en,,,,
just audio off,mute,en,,,,
quickly restore sound,unmute,en,,,,
bare pause afspilningen,pause,da,,,,
bare hvor er mine nøgler,unknown,da,,,,
back to music now,resume,en,,,,
right away sing a song,unknown,en,,,,
jeg vil bede dig om at sætte Mew på,playNamed,da,,,,
kunne du spille Kendrick Lamar,playNamed,da,,,,
now scratch that,cancel,en,,,,
bare skru op med 20,volumeUp,da,,20,,
quickly scratch that,cancel,en,,,,
bare sæt nummeret på pause,pause,da,,,,
sounds right real quick,confirm,en,,,,
ville du venligst afspille favorit nummer syv,playFavoriteByNumber,da,,,7,
med det samme har jeg nogen nye beskeder,unknown,da,,,,
venligst vær så venlig at dæmpe lyden,mute,da,,,,
leave,leaveSpeaker,en,,,,
i need you to join the dining room,joinSpeaker,en,,,,
kunne du venligst sætte på lydløs,mute,da,,,,
quickly decrease volume by 20,volumeDown,en,,20,,
spil samtidig med entréen,joinSpeaker,da,,,,
i would like you to unpause right away,resume,en,,,,
list mine presets nu,listFavorites,da,,,,
vil du venligst spille P5,playNamed,da,,,,
i need you to separate this speaker,leaveSpeaker,en,,,,
højere med 15 med det samme,volumeUp,da,,15,,
skru ned med fem,volumeDown,da,,5,,
med det samme lyd fra,mute,da,,,,
i'd like you to put on The Voice,playNamed,en,,,,Voice
unmute the audio right now,unmute,en,,,,
hurtigt mind mig om at købe mælk,unknown,da,,,,
pause musikken,pause,da,,,,
read out my favorites,listFavorites,en,,,,
nu tag pausen af,resume,da,,,,
quickly i want you to ungroup,leaveSpeaker,en,,,,
kan du ophæve dæmpningen,unmute,da,,,,
throw on some tunes right now,playDefault,en,,,,
venligst vær så venlig at stoppe,stop,da,,,,
agreed now,confirm,en,,,,
resume the track right away,resume,en,,,,
stop med det samme,stop,da,,,,
venligst lydløs,mute,da,,,,
real quick i'd like some music,playDefault,en,,,,
real quick lift mute,unmute,en,,,,
dæmp lidt med det samme,volumeDown,da,,,,
right away resume the track,resume,en,,,,
spil det sædvanlige,playDefault,da,,,,
kan du venligst ændre lydstyrken til fem,setVolume,da,5,,,
jeg vil gerne have at du fortsætte musikken,resume,da,,,,
vær så venlig at genoptage,resume,da,,,,
drop the audio real quick,mute,en,,,,
what's the news,unknown,en,,,,
right now what are my favorites,listFavorites,en,,,,
jeps,confirm,da,,,,
can you bring back the sound,unmute,en,,,,
vil du fortsætte,resume,da,,,,
disconnect from group real quick,leaveSpeaker,en,,,,
quieter by twenty-five,volumeDown,en,,25,,
what's my home temperature right now,unknown,en,,,,
fine,confirm,en,,,,
bare forlad klyngen,leaveSpeaker,da,,,,
can you please set volume to one hundred,setVolume,en,100,,,
shut off the music right away,stop,en,,,,
ja lad os,confirm,da,,,,
venligst i orden ja,confirm,da,,,,
gør det,confirm,da,,,,
afslut pausen,resume,da,,,,
afbryd forbindelsen til gruppen,leaveSpeaker,da,,,,
ville du sætte lydstyrken til 45,setVolume,da,45,,,
tænd lyden igen med det samme,unmute,da,,,,
just silence it,mute,en,,,,
nu syng en sang,unknown,da,,,,
just no sound,mute,en,,,,
please kill the music,stop,en,,,,
jeg vil gerne have at du sætte lydstyrken til 20,setVolume,da,20,,,
kindly hold the music,pause,en,,,,
vis hele listen nu,listFavorites,da,,,,
ville du venligst sætte P6 på,playNamed,da,,,,
hold op hurtigt,stop,da,,,,
i want you to restore the sound,unmute,en,,,,
kan du venligst slukke for musikken,stop,da,,,,
can you please put the volume at eighty,setVolume,en,80,,,
venligst sænk lydstyrken med 25,volumeDown,da,,25,,
quieter by 30,volumeDown,en,,30,,
hurtigt vær så venlig at fjerne lydløs,unmute,da,,,,
do that now,confirm,en,,,,
kan du afspille P3,playNamed,da,,,,
quickly cut the sound,mute,en,,,,
jeg vil gerne have at du tilslutte stuen,joinSpeaker,da,,,,
kindly separate this speaker,leaveSpeaker,en,,,,
go ahead and play number ten,playFavoriteByNumber,en,,,10,
fint ja,confirm,da,,,,
med det samme dæmp musikken,mute,da,,,,
kunne du venligst forbinde med badeværelset,joinSpeaker,da,,,,
quickly go ahead and play music,playDefault,en,,,,
afspil nummer 10,playFavoriteByNumber,da,,,10,
sæt favorit 8 på,playFavoriteByNumber,da,,,8,
right away go ahead and ungroup,leaveSpeaker,en,,,,
could you set volume to 100,setVolume,en,100,,,
tone it down,volumeDown,en,,,,
kindly play P8 Jazz,playNamed,en,,,,P8 Jazz
kill the audio right away,mute,en,,,,
med det samme forlad gruppen,leaveSpeaker,da,,,,
no right now,cancel,en,,,,
venligst skru op 30,volumeUp,da,,30,,
lige jeg vil have musikken tilbage,resume,da,,,,
nu spil videre tak,resume,da,,,,
give me some music,playDefault,en,,,,
må jeg bede dig om at spille videre,resume,da,,,,
right away pause for a moment,pause,en,,,,
ville du indstille lydstyrken til 1,setVolume,da,1,,,
favorite nine,playFavoriteByNumber,en,,,9,
forlad gruppen med det samme,leaveSpeaker,da,,,,
group with the hallway,joinSpeaker,en,,,,
nu ophæv lydløs,unmute,da,,,,
link with the bedroom,joinSpeaker,en,,,,
just show me my favorites,listFavorites,en,,,,
kindly join the bathroom,joinSpeaker,en,,,,
would you put the volume at ninety,setVolume,en,90,,,
could you kindly play favorite 5,playFavoriteByNumber,en,,,5,
kunne du venligst spille BBC Radio 4,playNamed,da,,,,
could you please turn it up,volumeUp,en,,,,
nu split højttaleren,leaveSpeaker,da,,,,
please show me my favorites,listFavorites,en,,,,
sure why not,confirm,en,,,,
please list my favorites,listFavorites,en,,,,
jeg vil gerne have at du ophæve grupperingen,leaveSpeaker,da,,,,
i need you to mute right away,mute,en,,,,
hurtigt afbryd handlingen,cancel,da,,,,
please ungroup,leaveSpeaker,en,,,,
kunne du venligst sætte BBC Radio 4 på,playNamed,da,,,,
start favorite 6,playFavoriteByNumber,en,,,6,
never mind,cancel,en,,,,
what's today's date right away,unknown,en,,,,
real quick mute it,mute,en,,,,
tilbage til at have lyd hurtigt,unmute,da,,,,
skru ned med tredive,volumeDown,da,,30,,
med det samme sæt musik på,playDefault,da,,,,
lige skru ned 20,volumeDown,da,,20,,
play the usual,playDefault,en,,,,
vær venlig at slå lyden fra,mute,da,,,,
make the volume 80,setVolume,en,80,,,
can you please put the volume at 40,setVolume,en,40,,,
hurtigt genoptag nummeret,resume,da,,,,
ok hurtigt,confirm,da,,,,
skip the action,cancel,en,,,,
ville du mute,mute,da,,,,
vil du stoppe,stop,da,,,,
vær så venlig at gøre det højere,volumeUp,da,,,,
vil du slå lyden fra,mute,da,,,,
vær venlig at afslutte musikken,stop,da,,,,
grupper med køkkenet,joinSpeaker,da,,,,
med det samme normal lyd igen,unmute,da,,,,
skift lydstyrken til 65,setVolume,da,65,,,
would you disconnect,leaveSpeaker,en,,,,
stop syncing real quick,leaveSpeaker,en,,,,
quickly changed my mind,cancel,en,,,,
just play my music,playDefault,en,,,,
nu ikke alligevel,cancel,da,,,,
vil du fortsætte musikken,resume,da,,,,
nu afbryd fra gruppen,leaveSpeaker,da,,,,
could you separate this speaker,leaveSpeaker,en,,,,
turn on the audio,unmute,en,,,,
right now who won last night,unknown,en,,,,
go ahead and separate this speaker real quick,leaveSpeaker,en,,,,
højere med fem med det samme,volumeUp,da,,5,,
luk lyden,mute,da,,,,
venligst sænk lydstyrken med 5,volumeDown,da,,5,,
stop helt hurtigt,stop,da,,,,
volume down thirty real quick,volumeDown,en,,30,,
give me sound back real quick,unmute,en,,,,
kan du venligst forbinde med soveværelset,joinSpeaker,da,,,,
right away tell me my favourites,listFavorites,en,,,,
vis mig hvad der er gemt hurtigt,listFavorites,da,,,,
vil du pause,pause,da,,,,
can you please set volume to 40,setVolume,en,40,,,
skru ned 30,volumeDown,da,,30,,
now definitely yes,confirm,en,,,,
join with the dining room,joinSpeaker,en,,,,
right away end mute,unmute,en,,,,
turn it up by 20 right now,volumeUp,en,,20,,
jeg vil gerne have at du fjerne dæmpningen,unmute,da,,,,
fjern dæmpning,unmute,da,,,,
now make the music stop,stop,en,,,,
jeg vil gerne have at du stoppe,stop,da,,,,
can you list my favorites,listFavorites,en,,,,
netop nu,confirm,da,,,,
right away turn it up by twenty-five,volumeUp,en,,25,,
afbryd det nu,cancel,da,,,,
volume up 30,volumeUp,en,,30,,
jeg vil have musikken tilbage,resume,da,,,,
would you join the kitchen,joinSpeaker,en,,,,
ville du venligst ændre lydstyrken til 85,setVolume,da,85,,,
med det samme giv mig en pause,pause,da,,,,
venligst skru op for det,volumeUp,da,,,,
lige det er ikke rigtigt,cancel,da,,,,
real quick favorites list,listFavorites,en,,,,
now perfect,confirm,en,,,,
now decrease volume by 10,volumeDown,en,,10,,
now incorrect,cancel,en,,,,
vil du venligst spille favorit ti,playFavoriteByNumber,da,,,10,
adskil nu,leaveSpeaker,da,,,,
give me the Miles Davis,playNamed,en,,,,Miles Davis
quickly go on,resume,en,,,,
let the music play,resume,en,,,,
audio back on now,unmute,en,,,,
right now go silent,mute,en,,,,
ville du spille workout mix,playNamed,da,,,,
hold the audio,pause,en,,,,
helt rigtigt,confirm,da,,,,
play This American Life for me,playNamed,en,,,,This American Life
hvad er stillingen i kampen nu,unknown,da,,,,
indstil termostaten til toogtyve grader nu,unknown,da,,,,
vær venlig at spille P6,playNamed,da,,,,
syng en sang,unknown,da,,,,
adskil højttaleren hurtigt,leaveSpeaker,da,,,,
split this speaker off now,leaveSpeaker,en,,,,
klart,confirm,da,,,,
could you group with the patio,joinSpeaker,en,,,,
louder by thirty now,volumeUp,en,,30,,
just i want sound,unmute,en,,,,
vær venlig at afspille favorit nummer seks,playFavoriteByNumber,da,,,6,
vil du genoptage,resume,da,,,,
bare hvor er det nærmeste apotek,unknown,da,,,,
nej med det samme,cancel,da,,,,
med det samme mindre lyd,volumeDown,da,,,,
forlad klyngen hurtigt,leaveSpeaker,da,,,,
jeg vil have ro hurtigt,stop,da,,,,
ikke gør det der med det samme,cancel,da,,,,
i want silence right now,stop,en,,,,
would you increase the volume,volumeUp,en,,,,
kunne du forlade gruppen,leaveSpeaker,da,,,,
right now quieter by fifteen,volumeDown,en,,15,,
right away show favourites,listFavorites,en,,,,
quickly volume down,volumeDown,en,,,,
sænk lydstyrken med tredive med det samme,volumeDown,da,,30,,
play favorite five,playFavoriteByNumber,en,,,5,
can you stop,stop,en,,,,
værsgod,confirm,da,,,,
quickly yeah sure,confirm,en,,,,
lige lad os pause,pause,da,,,,
carry on right away,resume,en,,,,
real quick ya,confirm,en,,,,
now i need you to disconnect,leaveSpeaker,en,,,,
må jeg bede dig om at spille favorit fire,playFavoriteByNumber,da,,,4,
go ahead and play something real quick,playDefault,en,,,,
kindly group with the basement,joinSpeaker,en,,,,
vent lidt,pause,da,,,,
right away put on some tunes,playDefault,en,,,,
disconnect from everyone real quick,leaveSpeaker,en,,,,
synkroniser med entréen,joinSpeaker,da,,,,
could you kindly play morgenmusik,playNamed,en,,,,morgenmusik
vær venlig at sætte på pause,pause,da,,,,
kindly play hip hop,playNamed,en,,,,hip hop
just cut the sound,mute,en,,,,
just unpair this speaker,leaveSpeaker,en,,,,
right away pause,pause,en,,,,
now quieter,volumeDown,en,,,,
decrease volume,volumeDown,en,,,,
would you mind to change the volume to seventy,setVolume,en,70,,,
hvad har jeg gemt som favoritter med det samme,listFavorites,da,,,,
bare det er nok,stop,da,,,,
kør videre,resume,da,,,,
could you kindly change the volume to 60,setVolume,en,60,,,
hvilke presets har jeg,listFavorites,da,,,,
right away pause the speaker,pause,en,,,,
det passer,confirm,da,,,,
afbryd forbindelsen med det samme,leaveSpeaker,da,,,,
kan du venligst afspille Genstart,playNamed,da,,,,
jeg vil gerne have at du afspille The Voice,playNamed,da,,,,
vil du venligst afspille Radio 100,playNamed,da,,,,
venligst jeg elsker dig,unknown,da,,,,
turn it down by 30 right now,volumeDown,en,,30,,
vær så venlig at stoppe afspilningen,stop,da,,,,
afbryd det,cancel,da,,,,
quickly when is sunset,unknown,en,,,,
ophæv pause hurtigt,resume,da,,,,
giv mig en pause med det samme,pause,da,,,,
enough already right now,stop,en,,,,
where's the closest pharmacy real quick,unknown,en,,,,
vær så venlig at spille musik,playDefault,da,,,,
venligst bekræftet,confirm,da,,,,
må jeg bede dig om at frakoble,leaveSpeaker,da,,,,
right away go ahead and turn it down,volumeDown,en,,,,
could you unpause,resume,en,,,,
kan du liste mine favoritter,listFavorites,da,,,,
just increase volume by 5,volumeUp,en,,5,,
spil videre tak nu,resume,da,,,,
would you mind to change the volume to 60,setVolume,en,60,,,
