text,label,lang,volumeValue,volumeDelta,favoriteNumber,favoriteName
annuller,cancel,da,,,,
hvad er hovedstaden i frankrig hurtigt,unknown,da,,,,
kindly turn off the music,stop,en,,,,
connect with the basement,joinSpeaker,en,,,,
put something on right now,playDefault,en,,,,
lad være,cancel,da,,,,
go quiet,mute,en,,,,
kunne du venligst sætte BBC Radio 4 på,playNamed,da,,,,
can you please resume the music,resume,en,,,,
luk for musikken hurtigt,mute,da,,,,
go ahead and turn it down right away,volumeDown,en,,,,
play This American Life for me,playNamed,en,,,,This American Life
stop already real quick,stop,en,,,,
lydstyrken på fyrre,setVolume,da,40,,,
list mine presets nu,listFavorites,da,,,,
fire up the P3,playNamed,en,,,,P3
drop the audio real quick,mute,en,,,,
vil du ændre lydstyrken til tredive,setVolume,da,30,,,
quickly lower the volume by 25,volumeDown,en,,25,,
nu fjern pause,resume,da,,,,
right now i want to listen to music,playDefault,en,,,,
silence the music real quick,mute,en,,,,
louder by 15 now,volumeUp,en,,15,,
i want it off,stop,en,,,,
just remove this speaker,leaveSpeaker,en,,,,
kan du forbinde med entréen,joinSpeaker,da,,,,
real quick that is correct,confirm,en,,,,
i'd like you to change the volume to 10,setVolume,en,10,,,
i want you to resume real quick,resume,en,,,,
put on some tunes right away,playDefault,en,,,,
would you make it louder,volumeUp,en,,,,
right away pause,pause,en,,,,
jo med det samme,confirm,da,,,,
would you mind to bring back the sound,unmute,en,,,,
hold on now,pause,en,,,,
vil du venligst afspille klassisk,playNamed,da,,,,
vær så venlig at adskille højttaleren,leaveSpeaker,da,,,,
hurtigt tavs,mute,da,,,,
giv mig en pause med det samme,pause,da,,,,
venligst vær så venlig at fortsætte musikken,resume,da,,,,
spil BBC Radio 4 for mig,playNamed,da,,,,BBC Radio 4 for mig
i need you to set volume to 25,setVolume,en,25,,,
silence it,mute,en,,,,
bare nul lyd,mute,da,,,,
could you join the upstairs speaker,joinSpeaker,en,,,,
right away i want music,playDefault,en,,,,
would you mind to join the living room,joinSpeaker,en,,,,
play together with the upstairs speaker,joinSpeaker,en,,,,
right away okay,confirm,en,,,,
now pause playback,pause,en,,,,
please silence it,mute,en,,,,
would you please put the volume at seventy-five,setVolume,en,75,,,
pair with the bathroom,joinSpeaker,en,,,,
do not now,cancel,en,,,,
favorit nummer to,playFavoriteByNumber,da,,,2,
abort it real quick,cancel,en,,,,
skru ned med 15,volumeDown,da,,15,,
stop the music,stop,en,,,,
bare pause afspilningen,pause,da,,,,
vær venlig at sætte hip hop på,playNamed,da,,,,
i need you to disconnect real quick,leaveSpeaker,en,,,,
could you please resume,resume,en,,,,
right now turn it down by 10,volumeDown,en,,10,,
ville du spille MØ,playNamed,da,,,,
vil du venligst spille favorit ti,playFavoriteByNumber,da,,,10,
fire up Coldplay,playNamed,en,,,,Coldplay
now louder by 25,volumeUp,en,,25,,
venligst fortryd,cancel,da,,,,
match the office,joinSpeaker,en,,,,
i'd like you to play favorite 5,playFavoriteByNumber,en,,,5,
jeg vil bede dig om at genoptage,resume,da,,,,
real quick go ahead and make it quieter,volumeDown,en,,,,
can you put on pop,playNamed,en,,,,pop
silence the speaker,mute,en,,,,
pause the audio right away,pause,en,,,,
quieter by ten,volumeDown,en,,10,,
turn on the sound real quick,unmute,en,,,,
volume up five right away,volumeUp,en,,5,,
vil du forbinde med ovenpå,joinSpeaker,da,,,,
ville du liste mine favoritter,listFavorites,da,,,,
i would like you to kill the sound,mute,en,,,,
i'd like some music real quick,playDefault,en,,,,
right away leave the others,leaveSpeaker,en,,,,
could you kindly hold the music,pause,en,,,,
ville du venligst dæmpe lyden,mute,da,,,,
quickly volume down twenty,volumeDown,en,,20,,
play with the basement,joinSpeaker,en,,,,
glem alt om det nu,cancel,da,,,,
could you kindly play Genstart,playNamed,en,,,,Genstart
må jeg bede dig om at skrue ned,volumeDown,da,,,,
lyder fint,confirm,da,,,,
just be quiet,mute,en,,,,
find en kaffebar nu,unknown,da,,,,
adskil,leaveSpeaker,da,,,,
would you mind to turn the sound back on,unmute,en,,,,
would you mind to put the volume at 0,setVolume,en,0,,,
quieter by ten right now,volumeDown,en,,10,,
unpair this speaker,leaveSpeaker,en,,,,
would you unmute,unmute,en,,,,
skift lydstyrken til halvfjerds,setVolume,da,70,,,
real quick i'd like you to disconnect,leaveSpeaker,en,,,,
sæt på pause hurtigt,pause,da,,,,
ville du starte musikken,playDefault,da,,,,
kunne du afslutte musikken,stop,da,,,,
do you have feelings,unknown,en,,,,
jeg vil gerne have at du afspille The Voice,playNamed,da,,,,
afspil jazz tak,playNamed,da,,,,jazz
exactly now,confirm,en,,,,
hurtigt skru ned 25,volumeDown,da,,25,,
unpause,resume,en,,,,
i'd like you to stop the music,stop,en,,,,
right away lift mute,unmute,en,,,,
i'd like you to play number four,playFavoriteByNumber,en,,,4,
could you kindly continue,resume,en,,,,
go ahead and resume the music,resume,en,,,,
kan du stoppe,stop,da,,,,
højere med 15 med det samme,volumeUp,da,,15,,
skip it,cancel,en,,,,
abort right away,cancel,en,,,,
fortæl en vittighed,unknown,da,,,,
do that now,confirm,en,,,,
kør bare på hurtigt,confirm,da,,,,
put on Bob Dylan,playNamed,en,,,,Bob Dylan
i would like you to set volume to 100,setVolume,en,100,,,
now fine by me,confirm,en,,,,
stop musikken,stop,da,,,,
follow the kitchen,joinSpeaker,en,,,,
i would like you to ungroup real quick,leaveSpeaker,en,,,,
sæt favorit 5 på,playFavoriteByNumber,da,,,5,
kindly put on MØ,playNamed,en,,,,MØ
just play my music,playDefault,en,,,,
could you kindly play favorite four,playFavoriteByNumber,en,,,4,
start playing again right away,resume,en,,,,
nu skru op 25,volumeUp,da,,25,,
right now what's my home temperature,unknown,en,,,,
i would like you to hold the music,pause,en,,,,
vær så venlig at spille Genstart,playNamed,da,,,,
vær venlig at spille favorit 10,playFavoriteByNumber,da,,,10,
go ahead and bring back the sound,unmute,en,,,,
hæv lydstyrken med tyve,volumeUp,da,,20,,
spil samtidig med badeværelset,joinSpeaker,da,,,,
i need you to resume right away,resume,en,,,,
spil min favorit seks,playFavoriteByNumber,da,,,6,
bring the sound back now,unmute,en,,,,
nu hvem har lavet dig,unknown,da,,,,
vær venlig at spille klassisk,playNamed,da,,,,
venligst lyd på,unmute,da,,,,
right away begin playing,playDefault,en,,,,
ville du venligst pause,pause,da,,,,
can you please change the volume to 80,setVolume,en,80,,,
quieter by fifteen right away,volumeDown,en,,15,,
right away play just here,leaveSpeaker,en,,,,
go ahead and play number five,playFavoriteByNumber,en,,,5,
vær venlig at spille Lukas Graham,playNamed,da,,,,
må jeg bede dig om at afspille study music,playNamed,da,,,,
lidt lavere med det samme,volumeDown,da,,,,
i'd like you to group with the hallway,joinSpeaker,en,,,,
afslut afspilningen,stop,da,,,,
scratch that,cancel,en,,,,
nu adskil fra gruppen,leaveSpeaker,da,,,,
sig noget sjovt,unknown,da,,,,
real quick volume up 10,volumeUp,en,,10,,
go ahead and play something real quick,playDefault,en,,,,
go ahead and mute the speaker right away,mute,en,,,,
vis hele listen,listFavorites,da,,,,
kan du genoptage,resume,da,,,,
spil favorit nummer fem,playFavoriteByNumber,da,,,5,
could you please change the volume to sixty,setVolume,en,60,,,
vær venlig at vise mine favoritter,listFavorites,da,,,,
pick a random number real quick,unknown,en,,,,
vær så venlig at sætte på pause,pause,da,,,,
vil du fortsætte musikken,resume,da,,,,
stop the song,stop,en,,,,
i would like you to set volume to 50,setVolume,en,50,,,
gå solo nu,leaveSpeaker,da,,,,
skru ned med 10 hurtigt,volumeDown,da,,10,,
pick up where you left off right now,resume,en,,,,
i want you to unmute now,unmute,en,,,,
i would like you to stop the music,stop,en,,,,
go ahead and play favorite ten,playFavoriteByNumber,en,,,10,
må jeg bede dig om at ophæve dæmpningen,unmute,da,,,,
i'd like you to set volume to 40,setVolume,en,40,,,
ville du spille noget,playDefault,da,,,,
jeg vil gerne have at du spille P4,playNamed,da,,,,
i would like you to play favorite six,playFavoriteByNumber,en,,,6,
spil med soveværelset,joinSpeaker,da,,,,
må jeg bede dig om at spille videre,resume,da,,,,
nu hvad er tolv gange otte,unknown,da,,,,
tilbage til afspilningen med det samme,resume,da,,,,
play some tunes real quick,playDefault,en,,,,
volume down twenty-five,volumeDown,en,,25,,
hold the music,pause,en,,,,
vil du slukke for lyden,mute,da,,,,
put on a song,playDefault,en,,,,
would you please put on a song,playDefault,en,,,,
continue the music right away,resume,en,,,,
play favorite five,playFavoriteByNumber,en,,,5,
lige frakobl gruppen,leaveSpeaker,da,,,,
nu skru op med femten,volumeUp,da,,15,,
make it quieter,volumeDown,en,,,,
list my favorites now,listFavorites,en,,,,
nu læs min seneste email op,unknown,da,,,,
ja det er fint,confirm,da,,,,
right away put on some tunes,playDefault,en,,,,
kunne du indstille lydstyrken til hundrede,setVolume,da,100,,,
hvornår står solen op,unknown,da,,,,
med det samme jeg vil have stilhed,mute,da,,,,
cancel,cancel,en,,,,
venligst lydløs,mute,da,,,,
show me my favorites real quick,listFavorites,en,,,,
right now lower the volume by 25,volumeDown,en,,25,,
would you please set volume to seventy,setVolume,en,70,,,
bare skru op med femten,volumeUp,da,,15,,
lige glem den ting,cancel,da,,,,
hold pause hurtigt,pause,da,,,,
venligst vær så venlig at stoppe,stop,da,,,,
stop deling nu,leaveSpeaker,da,,,,
could you kindly set volume to one hundred,setVolume,en,100,,,
i would like you to play number 7,playFavoriteByNumber,en,,,7,
can you please put on The Beatles,playNamed,en,,,,Beatles
stop gruppering med det samme,leaveSpeaker,da,,,,
skru ned for musikken med det samme,volumeDown,da,,,,
i would like you to play workout mix,playNamed,en,,,,workout mix
kan du gruppere med badeværelset,joinSpeaker,da,,,,
i want you to pause now,pause,en,,,,
vær venlig at afspille favorit nummer fem,playFavoriteByNumber,da,,,5,
med det samme bekræft,confirm,da,,,,
just mute this,mute,en,,,,
vær så venlig at pause afspilningen hurtigt,pause,da,,,,
roll a dice right away,unknown,en,,,,
can you join the basement,joinSpeaker,en,,,,
absolutely yes right now,confirm,en,,,,
join with the kitchen,joinSpeaker,en,,,,
give me the Miles Davis,playNamed,en,,,,Miles Davis
real quick that's right,confirm,en,,,,
ville du vise mine favoritter,listFavorites,da,,,,
can you play number eight,playFavoriteByNumber,en,,,8,
please play with the office,joinSpeaker,en,,,,
kunne du venligst spille favorit to,playFavoriteByNumber,da,,,2,
ville du slukke for musikken,stop,da,,,,
kindly play favorite one,playFavoriteByNumber,en,,,1,
må jeg bede dig om at liste mine favoritter,listFavorites,da,,,,
now i need you to stop playing,stop,en,,,,
jeg vil gerne have at du spille favorit ni,playFavoriteByNumber,da,,,9,
give me the P8 Jazz,playNamed,en,,,,P8 Jazz
i would like you to resume the music,resume,en,,,,
vær så venlig at afspille Coldplay,playNamed,da,,,,
i'd like you to stop real quick,stop,en,,,,
fire up some music,playDefault,en,,,,
højere med 5,volumeUp,da,,5,,
tavs hurtigt,mute,da,,,,
can you please stop the music,stop,en,,,,
no that's wrong now,cancel,en,,,,
kindly start playing,playDefault,en,,,,
med det samme spil mere,resume,da,,,,
just pause the song,pause,en,,,,
can you change the volume to seventy,setVolume,en,70,,,
volume down 25,volumeDown,en,,25,,
hurtigt hvem vandt i går,unknown,da,,,,
quickly resume from where it stopped,resume,en,,,,
quickly more sound,volumeUp,en,,,,
just i need you to start playing,playDefault,en,,,,
bare hæv lydstyrken med femten,volumeUp,da,,15,,
jeg vil gerne have at du fjerne dæmpningen,unmute,da,,,,
sluk for det hurtigt,stop,da,,,,
jeg vil bede dig om at sætte Pink Floyd på,playNamed,da,,,,
med det samme vær så venlig at holde pause,pause,da,,,,
ophæv pause hurtigt,resume,da,,,,
stands sangen,stop,da,,,,
med det samme højere med 5,volumeUp,da,,5,,
med det samme skru op med 15,volumeUp,da,,15,,
lad os pause nu,pause,da,,,,
just bump the volume,volumeUp,en,,,,
resume the track right away,resume,en,,,,
ville du tilslutte spisestuen,joinSpeaker,da,,,,
vær venlig at frakoble,leaveSpeaker,da,,,,
could you please change the volume to twenty-five,setVolume,en,25,,,
unmute right away,unmute,en,,,,
enig med det samme,confirm,da,,,,
vær så venlig at afspille favorit nummer 3,playFavoriteByNumber,da,,,3,
kan du venligst starte musikken,playDefault,da,,,,
lydstyrken på 5,setVolume,da,5,,,
nu jo,confirm,da,,,,
venligst skru op med fem,volumeUp,da,,5,,
good morning now,unknown,en,,,,
start playback right away,playDefault,en,,,,
split off right now,leaveSpeaker,en,,,,
skru ned 20,volumeDown,da,,20,,
jeg vil bede dig om at sætte Taylor Swift på,playNamed,da,,,,
i want you to play favorite 6,playFavoriteByNumber,en,,,6,
could you ungroup,leaveSpeaker,en,,,,
nu skru ned 20,volumeDown,da,,20,,
go ahead and disconnect,leaveSpeaker,en,,,,
could you kindly join the living room,joinSpeaker,en,,,,
kindly join the hallway,joinSpeaker,en,,,,
tag tråden op igen,resume,da,,,,
i want you to keep playing,resume,en,,,,
yeah,confirm,en,,,,
please group with the bedroom,joinSpeaker,en,,,,
would you please play number 6,playFavoriteByNumber,en,,,6,
ville du venligst spille favorit seks,playFavoriteByNumber,da,,,6,
lower real quick,volumeDown,en,,,,
vis listen,listFavorites,da,,,,
med det samme vent her,pause,da,,,,
venligst gør det lidt højere,volumeUp,da,,,,
quickly mute everything,mute,en,,,,
netop,confirm,da,,,,
hurtigt læs overskrifterne op,unknown,da,,,,
ville du afspille ambient music,playNamed,da,,,,
ville du venligst spille musik,playDefault,da,,,,
jeg vil bede dig om at indstille lydstyrken til fyrre,setVolume,da,40,,,
quickly go ahead and make it louder,volumeUp,en,,,,
right now explain quantum physics,unknown,en,,,,
could you please set volume to forty,setVolume,en,40,,,
vil du venligst sætte på lydløs,mute,da,,,,
quickly any new messages,unknown,en,,,,
må jeg bede dig om at sætte på pause,pause,da,,,,
spil bare her,leaveSpeaker,da,,,,
i need you to put on NPR,playNamed,en,,,,NPR
gør det bare,confirm,da,,,,
ville du venligst pause musikken,pause,da,,,,
fire up Pop FM,playNamed,en,,,,Pop FM
vil du stoppe,stop,da,,,,
vil du sætte lydstyrken til 80,setVolume,da,80,,,
spil nummer 9,playFavoriteByNumber,da,,,9,
kan du ophæve pausen,resume,da,,,,
silence the music,mute,en,,,,
i want you to change the volume to twenty-five,setVolume,en,25,,,
start music,playDefault,en,,,,
go ahead and make it quieter right now,volumeDown,en,,,,
quickly that is right,confirm,en,,,,
jeg vil pause hurtigt,pause,da,,,,
right away tell me my favourites,listFavorites,en,,,,
spil mine sange med det samme,playDefault,da,,,,
now proceed,confirm,en,,,,
please ungroup,leaveSpeaker,en,,,,
now confirmed,confirm,en,,,,
lige ophæv pause,resume,da,,,,
gør det nu,confirm,da,,,,
i want you to join the garden,joinSpeaker,en,,,,
med det samme spil hvad som helst,playDefault,da,,,,
med det samme vis mig et kort over paris,unknown,da,,,,
can you please separate this speaker,leaveSpeaker,en,,,,
tilbage til musikken,resume,da,,,,
on second thought no right now,cancel,en,,,,
ville du venligst sætte morgenmusik på,playNamed,da,,,,
who are you,unknown,en,,,,
kunne du ophæve grupperingen,leaveSpeaker,da,,,,
which favorites are saved right away,listFavorites,en,,,,
i would like you to group with the living room,joinSpeaker,en,,,,
connect with the hallway,joinSpeaker,en,,,,
kunne du venligst spille BBC Radio 4,playNamed,da,,,,
disconnect from the others,leaveSpeaker,en,,,,
would you please put the volume at forty,setVolume,en,40,,,
can you please group with the kitchen,joinSpeaker,en,,,,
vær så venlig at pause hurtigt,pause,da,,,,
bestemt med det samme,confirm,da,,,,
i changed my mind,cancel,en,,,,
would you mind to put on Mads og Monopolet,playNamed,en,,,,Mads og Monopolet
i would like you to group with the bathroom,joinSpeaker,en,,,,
vær venlig at afspille jazz,playNamed,da,,,,
would you play favorite 3,playFavoriteByNumber,en,,,3,
tag pausen af hurtigt,resume,da,,,,
må jeg bede dig om at afspille Adele,playNamed,da,,,,
med det samme giv mig en pause,pause,da,,,,
hold the audio,pause,en,,,,
ophæv lydløs nu,unmute,da,,,,
quickly go ahead and carry on,resume,en,,,,
hurtigt fortæl en historie,unknown,da,,,,
quickly go on,resume,en,,,,
right now set the thermostat to seventy,unknown,en,,,,
bare luk for lyden,mute,da,,,,
stop med det samme,stop,da,,,,
hurtigt i orden ja,confirm,da,,,,
would you please read out my favorites,listFavorites,en,,,,
ville du ændre lydstyrken til halvfjerds,setVolume,da,70,,,
i want you to set volume to 0,setVolume,en,0,,,
venligst vis vej til lufthavnen,unknown,da,,,,
nu ophæv lydløs,unmute,da,,,,
hurtigt fjern denne højttaler fra gruppen,leaveSpeaker,da,,,,
vær så venlig at sætte lydstyrken til femogtyve,setVolume,da,25,,,
kan du ophæve dæmpningen,unmute,da,,,,
turn the volume down right now,volumeDown,en,,,,
nul lyd,mute,da,,,,
vil du sætte musik på,playDefault,da,,,,
could you kindly put on Volbeat,playNamed,en,,,,Volbeat
hvad er to plus to hurtigt,unknown,da,,,,
real quick i need you to disconnect,leaveSpeaker,en,,,,
go ahead and group with the dining room,joinSpeaker,en,,,,
kan du venligst indstille lydstyrken til 20,setVolume,da,20,,,
match the hallway,joinSpeaker,en,,,,
vil du venligst afspille favorit nummer seks,playFavoriteByNumber,da,,,6,
stop midlertidigt,pause,da,,,,
jeg vil gerne have at du afslutte musikken,stop,da,,,,
synkroniser med soveværelset,joinSpeaker,da,,,,
vær venlig at ændre lydstyrken til 70,setVolume,da,70,,,
yeah do it,confirm,en,,,,
ophæv gruppen med det samme,leaveSpeaker,da,,,,
nu skru ned med femogtyve,volumeDown,da,,25,,
right away cut audio,mute,en,,,,
bare lad os ikke,cancel,da,,,,
venligst lyder fint,confirm,da,,,,
just play more,resume,en,,,,
kindly hold the music,pause,en,,,,
kindly play favorite 9,playFavoriteByNumber,en,,,9,
that is correct now,confirm,en,,,,
kunne du venligst afspille favorit nummer ti,playFavoriteByNumber,da,,,10,
fortsæt sangen med det samme,resume,da,,,,
quickly exit silent mode,unmute,en,,,,
med det samme fjern mute,unmute,da,,,,
just turn it up,volumeUp,en,,,,
put the volume at 20,setVolume,en,20,,,
vær så venlig at spille favorit 1,playFavoriteByNumber,da,,,1,
kunne du dæmpe lyden,mute,da,,,,
kan du afspille P3,playNamed,da,,,,
hold op hurtigt,stop,da,,,,
ophæv grupperingen med det samme,leaveSpeaker,da,,,,
fire up the P7,playNamed,en,,,,P7
kan du venligst slukke for musikken,stop,da,,,,
i would like you to bring back the sound,unmute,en,,,,
right away i would like you to continue,resume,en,,,,
vis favoritter,listFavorites,da,,,,
ville du venligst slå lyden fra,mute,da,,,,
kindly play favorite four,playFavoriteByNumber,en,,,4,
nu kør noget musik,playDefault,da,,,,
play whatever was on,playDefault,en,,,,
start favorite 6,playFavoriteByNumber,en,,,6,
kan du venligst fortsætte,resume,da,,,,
bare giv mig lyden igen,unmute,da,,,,
sæt lydstyrken til 20,setVolume,da,20,,,
tænd lyden igen,unmute,da,,,,
vil du afspille favorit nummer 10,playFavoriteByNumber,da,,,10,
play the usual,playDefault,en,,,,
lower the volume by 25 right now,volumeDown,en,,25,,
right away pause for a moment,pause,en,,,,
i would like you to unpause right away,resume,en,,,,
skru op 10 nu,volumeUp,da,,10,,
forget about it right now,cancel,en,,,,
just go ahead and continue,resume,en,,,,
må jeg bede dig om at afspille favorit nummer 1,playFavoriteByNumber,da,,,1,
med det samme afkobl,leaveSpeaker,da,,,,
vil du venligst indstille lydstyrken til halvfjerds,setVolume,da,70,,,
spil favorit nummer ni,playFavoriteByNumber,da,,,9,
kan du venligst afspille Genstart,playNamed,da,,,,
ville du venligst ændre lydstyrken til 75,setVolume,da,75,,,
med det samme spil skak,unknown,da,,,,
hurtigt genoptag nummeret,resume,da,,,,
vent lidt med det samme,pause,da,,,,
shut off the music right away,stop,en,,,,
hurtigt hæv lydstyrken med 30,volumeUp,da,,30,,
venligst fint ja,confirm,da,,,,
kan du indstille lydstyrken til ti,setVolume,da,10,,,
just stop the song,stop,en,,,,
sync with the garden,joinSpeaker,en,,,,
favourite 1,playFavoriteByNumber,en,,,1,
put on the morning playlist,playNamed,en,,,,morning playlist
no more music,stop,en,,,,
lige hvad er datoen i dag,unknown,da,,,,
hurtigt min favoritliste,listFavorites,da,,,,
quickly unsync,leaveSpeaker,en,,,,
real quick go quiet,mute,en,,,,
play in the living room too,joinSpeaker,en,,,,
quickly alright then,confirm,en,,,,
just volume down thirty,volumeDown,en,,30,,
i need you to play something right away,playDefault,en,,,,
med det samme giv mig noget musik,playDefault,da,,,,
sæt lydstyrken til 75,setVolume,da,75,,,
ville du venligst sætte MØ på,playNamed,da,,,,
right away what's saved as a favorite,listFavorites,en,,,,
må jeg bede dig om at sætte Coldplay på,playNamed,da,,,,
fortsæt musikken med det samme,resume,da,,,,
start igen,resume,da,,,,
can you please put on MØ,playNamed,en,,,,MØ
nu nej det vil jeg ikke,cancel,da,,,,
fjern gruppering nu,leaveSpeaker,da,,,,
med det samme okay tak,confirm,da,,,,
real quick quieter by 5,volumeDown,en,,5,,
play here and in the bathroom,joinSpeaker,en,,,,
right now what favourites do i have,listFavorites,en,,,,
jeg vil gerne have at du dæmpe lyden,mute,da,,,,
kunne du fortælle mig mine favoritter,listFavorites,da,,,,
unpause the music,resume,en,,,,
quickly lower it,volumeDown,en,,,,
stop helt hurtigt,stop,da,,,,
lige lad os pause,pause,da,,,,
lige annuller,cancel,da,,,,
i need you to play electronic,playNamed,en,,,,electronic
favorit to,playFavoriteByNumber,da,,,2,
could you play number 9,playFavoriteByNumber,en,,,9,
right away play by yourself,leaveSpeaker,en,,,,
vær venlig at sætte på pause,pause,da,,,,
i want you to play favorite 4,playFavoriteByNumber,en,,,4,
list favoritterne nu,listFavorites,da,,,,
skift lydstyrken til 65,setVolume,da,65,,,
right away good night,unknown,en,,,,
bare start lidt musik,playDefault,da,,,,
unmute the speaker real quick,unmute,en,,,,
kan du venligst slukke for lyden,mute,da,,,,
ville du fjerne dæmpningen,unmute,da,,,,
now make the music stop,stop,en,,,,
jeg vil gerne have at du stoppe,stop,da,,,,
could you please play number 10,playFavoriteByNumber,en,,,10,
jeg vil gerne have at du fortsætte musikken,resume,da,,,,
right now restore sound,unmute,en,,,,
kunne du afspille favorit nummer 2,playFavoriteByNumber,da,,,2,
real quick i would like you to ungroup,leaveSpeaker,en,,,,
kan du skrue op for lyden,volumeUp,da,,,,
can you play with the bedroom,joinSpeaker,en,,,,
i'd like you to mute right away,mute,en,,,,
now bring the sound back,unmute,en,,,,
would you please set volume to 20,setVolume,en,20,,,
play the The Beatles,playNamed,en,,,,The Beatles
kindly change the volume to five,setVolume,en,5,,,
don't do it,cancel,en,,,,
can you please leave the group,leaveSpeaker,en,,,,
never mind,cancel,en,,,,
list the favorites,listFavorites,en,,,,
lige tag højttaleren ud af gruppen,leaveSpeaker,da,,,,
good morning,unknown,en,,,,
could you unpause,resume,en,,,,
just ok,confirm,en,,,,
venligst lad være med det,cancel,da,,,,
bare lavere med femten,volumeDown,da,,15,,
quickly drop the audio,mute,en,,,,
back out right away,cancel,en,,,,
hvad er temperaturen udenfor,unknown,da,,,,
godnat,unknown,da,,,,
pause right away,pause,en,,,,
quieter by twenty-five now,volumeDown,en,,25,,
no thanks,cancel,en,,,,
can you increase the volume,volumeUp,en,,,,
list favoritter med det samme,listFavorites,da,,,,
venligst forklar kvantefysik,unknown,da,,,,
right now quieter by fifteen,volumeDown,en,,15,,
fjern pause nu,resume,da,,,,
kindly put on Pop FM,playNamed,en,,,,Pop FM
jeg vil bede dig om at sætte Mew på,playNamed,da,,,,
bare gør det ikke,cancel,da,,,,
increase volume right away,volumeUp,en,,,,
quickly volume up 10,volumeUp,en,,10,,
kan du venligst afspille favorit nummer 8,playFavoriteByNumber,da,,,8,
jeg vil høre noget igen med det samme,unmute,da,,,,
bare hæv lydstyrken med tyve,volumeUp,da,,20,,
decrease volume by 20 right away,volumeDown,en,,20,,
vil du venligst skrue op,volumeUp,da,,,,
i'd like you to list my favorites,listFavorites,en,,,,
now do not,cancel,en,,,,
skift til lydstyrke 90,setVolume,da,90,,,
jeg vil have ro hurtigt,stop,da,,,,
venligst afslut sangen,stop,da,,,,
i want silence right now,stop,en,,,,
could you please change the volume to seventy-five,setVolume,en,75,,,
